[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | SQL: SHOW COLUMNS FROM `yesow_admin` [ RunTime:0.002744s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | SQL: SELECT * FROM `yesow_admin` WHERE ( `name` = 'admin' ) AND ( `status` = '1' ) LIMIT 1   [ RunTime:0.000485s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | SQL: UPDATE `yesow_admin` SET `last_login_ip`='127.0.0.1',`last_login_time`=1355242440,`login_count`=login_count+1 WHERE ( `id` = '1' ) [ RunTime:0.194972s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_template ] --START--
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001036s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001410s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016037s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016371s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ContentReplace Behavior [ RunTime:0.000960s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run TokenBuild Behavior [ RunTime:0.001173s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000606s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001531s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005166s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_end ] --START--
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000963s ]
[ 2012-12-12T00:14:00+08:00 ] /yesow/admin.php/public/checklogin/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001285s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ route_check ] --START--
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001400s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001787s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ app_begin ] --START--
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001350s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run CheckLang Behavior [ RunTime:0.003047s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004928s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_template ] --START--
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001176s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001484s ]
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | INFO: Tag[ view_parse ] --START--
[ 2012-12-12T00:14:01+08:00 ] /yesow/admin.php/index/index | NOTIC: [8] Undefined variable: menu 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 125 行.
