[ 2012-11-19T21:36:50+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002327s ]
[ 2012-11-19T21:36:50+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000339s ]
[ 2012-11-19T21:39:46+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:39:46+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001298s ]
[ 2012-11-19T21:39:46+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002500s ]
[ 2012-11-19T21:39:46+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004384s ]
[ 2012-11-19T21:39:46+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002883s ]
[ 2012-11-19T21:39:46+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000346s ]
[ 2012-11-19T21:39:47+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:39:47+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000985s ]
[ 2012-11-19T21:39:47+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.001925s ]
[ 2012-11-19T21:39:47+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003380s ]
[ 2012-11-19T21:39:47+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.003209s ]
[ 2012-11-19T21:39:47+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000374s ]
[ 2012-11-19T21:40:40+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:40:40+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001011s ]
[ 2012-11-19T21:40:40+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002078s ]
[ 2012-11-19T21:40:40+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003587s ]
[ 2012-11-19T21:40:40+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002621s ]
[ 2012-11-19T21:40:40+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000352s ]
[ 2012-11-19T21:41:00+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:41:00+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001407s ]
[ 2012-11-19T21:41:00+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.001126s ]
[ 2012-11-19T21:41:00+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003274s ]
[ 2012-11-19T21:41:00+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `think_test` [ RunTime:0.000225s ]
[ 2012-11-19T21:41:00+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `think_test`  [ RunTime:0.000211s ]
[ 2012-11-19T21:41:33+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:41:33+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001137s ]
[ 2012-11-19T21:41:33+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002243s ]
[ 2012-11-19T21:41:33+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004042s ]
[ 2012-11-19T21:41:33+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002681s ]
[ 2012-11-19T21:41:33+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000424s ]
[ 2012-11-19T21:42:47+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:42:47+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002265s ]
[ 2012-11-19T21:42:47+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.003441s ]
[ 2012-11-19T21:42:47+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006401s ]
[ 2012-11-19T21:42:47+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002528s ]
[ 2012-11-19T21:42:47+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000259s ]
[ 2012-11-19T21:43:27+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:43:27+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001114s ]
[ 2012-11-19T21:43:27+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002178s ]
[ 2012-11-19T21:43:27+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003830s ]
[ 2012-11-19T21:43:27+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002501s ]
[ 2012-11-19T21:43:27+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000314s ]
[ 2012-11-19T21:49:03+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:49:03+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001198s ]
[ 2012-11-19T21:49:03+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002399s ]
[ 2012-11-19T21:49:03+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004111s ]
[ 2012-11-19T21:49:03+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002704s ]
[ 2012-11-19T21:49:03+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000372s ]
[ 2012-11-19T21:49:19+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-11-19T21:49:19+08:00 ] /reachvc/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001116s ]
[ 2012-11-19T21:49:19+08:00 ] /reachvc/admin.php | INFO: Run CheckLang Behavior [ RunTime:0.002642s ]
[ 2012-11-19T21:49:19+08:00 ] /reachvc/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005140s ]
[ 2012-11-19T21:49:19+08:00 ] /reachvc/admin.php | SQL: SHOW COLUMNS FROM `rea_test` [ RunTime:0.002587s ]
[ 2012-11-19T21:49:19+08:00 ] /reachvc/admin.php | SQL: SELECT * FROM `rea_test`  [ RunTime:0.000397s ]
